scenario,attachment_size_kb,repeat,fact_to_remember,turn_index,session_id,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,cache_hit_kind,last_resolved_tier,latency_budget_passed,cost_budget_passed,memory_drift_passed,memory_drift_score
growing,0,2,scope includes usage analytics,16,0ffbf979-c826-4e01-be43-62167f53b2b5,65,0,13,0,0,2109,220,0.00020923,0,none,stress_fake,True,True,False,0.0
growing,0,2,scope includes onboarding checklist,17,0ffbf979-c826-4e01-be43-62167f53b2b5,70,0,13,0,0,2112,220,0.00020944,0,none,stress_fake,True,True,False,0.0
growing,0,2,scope includes billing reconciliation,18,0ffbf979-c826-4e01-be43-62167f53b2b5,73,0,13,0,0,2116,220,0.00020972,0,none,stress_fake,True,True,False,0.0
growing,0,2,scope includes incident notifications,19,0ffbf979-c826-4e01-be43-62167f53b2b5,60,0,13,0,0,2119,220,0.00020993,0,none,stress_fake,True,True,False,0.0
growing,0,2,project name: Nimbus Portal,20,0ffbf979-c826-4e01-be43-62167f53b2b5,107,0,13,0,0,2129,220,0.00021063,0,none,stress_fake,True,True,False,0.0
growing,0,3,project name: Nimbus Portal,1,60c44ef9-fb50-4483-acac-b9d9b32ae34e,96,0,3,0,0,25,220,6.335e-05,0,none,stress_fake,True,True,False,0.0
growing,0,3,scope includes multi tenant workspaces,2,60c44ef9-fb50-4483-acac-b9d9b32ae34e,83,0,5,0,0,387,220,8.869e-05,0,none,stress_fake,True,True,False,0.0
growing,0,3,scope includes audit log,3,60c44ef9-fb50-4483-acac-b9d9b32ae34e,72,0,7,0,0,743,220,0.00011361,0,none,stress_fake,True,True,False,0.0
growing,0,3,scope includes CSV export,4,60c44ef9-fb50-4483-acac-b9d9b32ae34e,57,0,9,0,0,1093,220,0.00013811,0,none,stress_fake,True,True,False,0.0
growing,0,3,scope includes reporting dashboard,5,60c44ef9-fb50-4483-acac-b9d9b32ae34e,75,0,11,0,0,1444,220,0.00016268,0,none,stress_fake,True,True,False,0.0
